c_access,dataset,type
0.214756,Yelp,Tree
0.216881,Yelp,Tree
0.216023,Yelp,Tree
0.216856,Yelp,Tree
0.215532,Yelp,Tree
0.258631,Yelp,Nested Hashmap
0.259119,Yelp,Nested Hashmap
0.255541,Yelp,Nested Hashmap
0.255205,Yelp,Nested Hashmap
0.262005,Yelp,Nested Hashmap
0.02228,Yelp,Flattened Struct
0.0219265,Yelp,Flattened Struct
0.0221618,Yelp,Flattened Struct
0.0221395,Yelp,Flattened Struct
0.0219618,Yelp,Flattened Struct
0.32086,Yelp,Indexed String
0.319982,Yelp,Indexed String
0.31826,Yelp,Indexed String
0.320461,Yelp,Indexed String
0.320925,Yelp,Indexed String
